Job_Title,Salary_Estimate,Rating,Company_Name,Location_,Size_,Founded,Type_of_Ownership,Industry_,Sector_,Revenue_,Competitors,Easy_Apply
"Senior Solutions Analyst, Data Specialist",$77K-$132K (Glassdoor est.),4.2,"VTS
4.2","New York, NY",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1,-1
Operations data analyst,$77K-$132K (Glassdoor est.),-1,Sky I.T. Group (Sky Business Intelligence Team),"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
HR Data Analyst,$77K-$132K (Glassdoor est.),3.5,"Robert Half
3.5","Jersey City, NJ",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1
Healthcare Senior Data Analyst - HEDIS,$77K-$132K (Glassdoor est.),2,"Village Care
2.0","New York, NY",501 to 1000 employees,1977,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1,-1
Senior Data Quality Analyst,$77K-$132K (Glassdoor est.),3.3,"Quest Diagnostics
3.3","Secaucus, NJ",10000+ employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"LabCorp, Bio-Reference Labs, Thermo Fisher Scientific",-1
Financial Data Analyst - Accounting ll,$77K-$132K (Glassdoor est.),-1,Softinc,"New York, NY",51 to 200 employees,2018,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1
Data Analyst - Litigation,$77K-$132K (Glassdoor est.),-1,"KnowledgePro, LLC","New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
Quantitative Data Analyst/Developer,$77K-$132K (Glassdoor est.),5,"Creative Data Resources
5.0","New York, NY",1 to 50 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
"Sr Business Data Analyst SAP, SKU, Supply Chain",$77K-$132K (Glassdoor est.),3.4,"EVERSANA
3.4","New York, NY",1001 to 5000 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,-1
"Senior Data Analyst, Gas Planning and Design Engineering",$77K-$132K (Glassdoor est.),3.6,"National Grid USA
3.6","Brooklyn, NY",10000+ employees,1990,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD),Northeast Utilities,-1
Data Analyst - Cardiac Cath Lab,$77K-$132K (Glassdoor est.),2.1,"Barnabas Health
2.1","West Orange, NJ",501 to 1000 employees,-1,Company - Public,-1,-1,$5 to $10 million (USD),-1,-1
Senior Data Business Analyst,$77K-$132K (Glassdoor est.),2.8,"Aegis Media
2.8","New York, NY",1001 to 5000 employees,1978,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$2 to $5 billion (USD),-1,-1
Business Analyst/Data Analyst - Capital Markets Data,$77K-$132K (Glassdoor est.),3,"RMS Computer Corporation
3.0","Jersey City, NJ",201 to 500 employees,1985,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,-1
"Firmwide Reference Data Operations, Pricing Operations, Analyst",$77K-$132K (Glassdoor est.),3.9,"J.P. Morgan
3.9","Newark, NJ",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1
Senior Healthcare Data Analyst,$77K-$132K (Glassdoor est.),4.5,"RAMPS International Inc
4.5","New York, NY",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1
"Data Analyst, Quality & Patient Safety",$77K-$132K (Glassdoor est.),-1,Episcopal Health Services Inc.,"Far Rockaway, NY",-1,-1,-1,-1,-1,-1,-1,-1
Senior Data Analyst - FHC - Family Support Center,$77K-$132K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1
QA Data Analyst,$77K-$132K (Glassdoor est.),5,"Professional Resource Group
5.0","Lake Success, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1
Sr Data Analyst for Customer Based Management,$77K-$132K (Glassdoor est.),3,"Altice USA
3.0","Long Island City, NY",10000+ employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
"Data Analyst/Project Manager in Jersey City, New Jersey | Careers at Harborside",$77K-$132K (Glassdoor est.),3.4,"Sumitomo Mitsui Banking Corporation (SMBC)
3.4","Jersey City, NJ",10000+ employees,1996,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"Bank Of Tokyo-Mitsubishi UFJ, Mizuho Financial Group, Citi",-1
Senior Financial Analyst - Enterprise Data,$98K-$114K (Glassdoor est.),3.2,"Geller & Company
3.2","New York, NY",501 to 1000 employees,1984,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1
Data Analyst with Data Lineage/Rochade,$98K-$114K (Glassdoor est.),4,"Reliable Software Resources
4.0","Florham Park, NJ",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Senior Market Data Content Acquisition/Procurement Analyst,$98K-$114K (Glassdoor est.),2.8,"Intercontinental Exchange, Inc.
2.8","New York, NY",1001 to 5000 employees,2000,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,-1
Sr. Specialist Reporting Data Analyst /Engineer - Cloud,$98K-$114K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1
"Senior Business Analyst, Data Management",$98K-$114K (Glassdoor est.),3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",-1
Data Science Analyst II - Mount Sinai Health Partners,$98K-$114K (Glassdoor est.),3.4,"Mount Sinai Health System
3.4","New York, NY",10000+ employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),3.5,"SAT Healthcare
3.5","New York, NY",201 to 500 employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1
Data Analyst,$98K-$114K (Glassdoor est.),3.3,"Atrium Staffing
3.3","Parsippany, NJ",51 to 200 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Kelly,-1
Technical Business Analyst with Retail Banking and Large Data Program,$98K-$114K (Glassdoor est.),3.7,"eTeam Inc.
3.7","New York, NY",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",-1
Principal Sales Operations Analyst - Oracle Data Cloud,$98K-$114K (Glassdoor est.),3.6,"Oracle
3.6","New York, NY",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"SAP, Salesforce, Microsoft",-1
QA Production Data Analyst,$98K-$114K (Glassdoor est.),2.7,"Metroplus Health Plan
2.7","New York, NY",1001 to 5000 employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1
JPSC-7462 - Data Analyst Lead - Sr. Tableau Lead,$98K-$114K (Glassdoor est.),4.5,"Avani Technology Solutions
4.5","Whippany, NJ",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Data Services Lead Analyst,$98K-$114K (Glassdoor est.),2.5,"Primesoft
2.5","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1
"Sr Data Analyst, Go-Live",$98K-$114K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),-1,IPro.org,"Great Neck, NY",-1,-1,-1,-1,-1,-1,-1,-1
Senior Healthcare Data Analyst,$98K-$114K (Glassdoor est.),4.3,"Cecelia Health
4.3","New York, NY",51 to 200 employees,2009,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
Regulatory Risk Management Data Analytics and Reporting Analyst,$98K-$114K (Glassdoor est.),5,"Creative Data Resources
5.0","New York, NY",1 to 50 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),4.4,"Systemart LLC
4.4","New York, NY",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1
"Specialist, Data and Reporting Analyst - IT Change Management",$98K-$114K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1
Datastage Developer/Consultant/IBM Websphere Datastage Developer(ETL Data Analyst)-Only Local to NY/,$98K-$114K (Glassdoor est.),4.8,"TechProjects
4.8","Jersey City, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),3,"IPRO
3.0","Lake Success, NY",201 to 500 employees,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1
Data Warehouse systems analyst,$98K-$114K (Glassdoor est.),5,"ITech Recruiting
5.0","New York, NY",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
TX Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),3.4,"RN Staff
3.4","New York, NY",Unknown,-1,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),4.2,"Abacus Service Corporation
4.2","New York, NY",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
Sr. Data Analyst - RWE,$98K-$114K (Glassdoor est.),4.2,"CyberCoders
4.2","Hoboken, NJ",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
Data Migration Lead/ Analyst (migration of data to the new target system),$98K-$114K (Glassdoor est.),3.4,"TECHNOCRAFT Solutions
3.4","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1
Senior Data Analytics Solutions Analyst,$98K-$114K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1
Technical Analyst - Access/Identity Data Security,$98K-$114K (Glassdoor est.),-1,C&G Consulting Services,"Hoboken, NJ",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst - Cardiac Cath Lab,$98K-$114K (Glassdoor est.),3.7,"RWJBarnabas Health
3.7","West Orange, NJ",10000+ employees,1982,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),"Atlantic Health System, Robert Wood Johnson University Hospital, Solaris Health System",-1
Data Quality Management Analyst,$98K-$114K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
"Business Analyst (SQL/SQL TOAD, Excel, XML, X12, HL7 messaging, data quality analysis)",$48K-$96K (Glassdoor est.),4.3,"MVP Consulting Plus Inc
4.3","New York, NY",201 to 500 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$5 to $10 million (USD),-1,-1
Senior Teradata Developer / Data Analyst,$48K-$96K (Glassdoor est.),3.8,"Capgemini
3.8","Jersey City, NJ",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",-1
Data & Interface Analyst,$48K-$96K (Glassdoor est.),2.4,"Centers Plan for Healthy Living
2.4","Staten Island, NY",501 to 1000 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
NY Healthcare Data/Reporting Analyst,$48K-$96K (Glassdoor est.),3.4,"RN Staff
3.4","New York, NY",Unknown,-1,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
Healthcare Senior Data Analyst - HEDIS,$48K-$96K (Glassdoor est.),-1,Village Care,"New York, NY",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst (Must have PL/SQL and Healthcare background),$48K-$96K (Glassdoor est.),-1,Clear Technology Consulting,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst / IT Data & Business Intelligence,$48K-$96K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","Harrison, NY",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1
Sr. Specialist Reporting Data Analyst -Technology,$48K-$96K (Glassdoor est.),3.2,"BNY Mellon
3.2","Florham Park, NJ",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1
Sr. Programmer Analyst - Big Data,$48K-$96K (Glassdoor est.),3.3,"Norgate Technology Inc
3.3","Jersey City, NJ",51 to 200 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1
Senior Data Analyst - FHC - Family Support Center,$48K-$96K (Glassdoor est.),-1,NYU Family Health Centers,"Brooklyn, NY",-1,-1,-1,-1,-1,-1,-1,-1
Data Analyst â Junior,$48K-$96K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","New York, NY",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Sr. Principal Metrics Analyst- Data Scientist,$48K-$96K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1
Product & Pricing Data Analyst,$48K-$96K (Glassdoor est.),3.1,"HomeBridge Financial Services
3.1","Iselin, NJ",1001 to 5000 employees,1989,Company - Private,Lending,Finance,$10+ billion (USD),-1,-1
SAP Data Analyst,$48K-$96K (Glassdoor est.),3.9,"Sharp Electronics Corporation
3.9","Montvale, NJ",1001 to 5000 employees,1962,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD),-1,-1
"Senior Data Analyst (E-commerce, Marketing)",$48K-$96K (Glassdoor est.),-1,JR Cigar/MC Management,"Whippany, NJ",-1,-1,-1,-1,-1,-1,-1,-1
Clinical Data Designer (Sr. SDTM Programmer/Analyst),$48K-$96K (Glassdoor est.),2.5,"Avacend, Inc.
2.5","Woodcliff Lake, NJ",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
Senior Data Analytics Solutions Analyst with Security Clearance,$48K-$96K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1
"JPSC-7176 - Position 35, 59, 62, 100,101,102, 141,142,166 : Senior Data Analyst",$48K-$96K (Glassdoor est.),4.5,"Avani Technology Solutions
4.5","Brooklyn, NY",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Senior Billing Data Analyst,$48K-$96K (Glassdoor est.),3.2,"Care Design New York
3.2","Bronx, NY",1001 to 5000 employees,2018,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
Master Data Analyst,$48K-$96K (Glassdoor est.),4.4,"ACT Consulting
4.4","Parsippany, NJ",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1
Sr. Data Analyst,$48K-$96K (Glassdoor est.),3.8,"TekniSMart Solutions
3.8","Franklin Lakes, NJ",1 to 50 employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1
"Senior Functional Analyst SAP Data design, SD/MM/PP",$48K-$96K (Glassdoor est.),3.4,"EVERSANA
3.4","New York, NY",1001 to 5000 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,-1
Data Analyst,$26K-$47K (Glassdoor est.),-1,HOUSING AUTHORITY OF THE COUNTY OF SALT LAKE,"Salt Lake City, UT",51 to 200 employees,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,-1
Data Analyst,$26K-$47K (Glassdoor est.),2,"CAO Group, INC
2.0","West Jordan, UT",51 to 200 employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),-1,-1
Data Analyst,$26K-$47K (Glassdoor est.),4.2,"University of Utah
4.2","Salt Lake City, UT",10000+ employees,1850,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,-1
Data Analyst,$26K-$47K (Glassdoor est.),3.6,"Paladin Consulting Inc
3.6","Salt Lake City, UT",501 to 1000 employees,1983,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"TEKsystems, Randstad US",-1
Data Analyst,$26K-$47K (Glassdoor est.),4.3,"SunTechPros, Inc.
4.3","Salt Lake City, UT",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,-1
Data Analyst,$26K-$47K (Glassdoor est.),4,"SGI Global, LLC
4.0","Salt Lake City, UT",501 to 1000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
Data Engineer / Data Analyst,$26K-$47K (Glassdoor est.),4.3,"HCL Global Systems
4.3","Salt Lake City, UT",10000+ employees,-1,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,-1
Junior Data Analyst,$26K-$47K (Glassdoor est.),4.1,"Abnormal Security
4.1","Lehi, UT",51 to 200 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1
Data Analyst,$26K-$47K (Glassdoor est.),4.5,"Vimerse
4.5","Salt Lake City, UT",51 to 200 employees,2011,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Data Analyst : 20,$26K-$47K (Glassdoor est.),4.6,"Akraya Inc.
4.6","Salt Lake City, UT",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"Collabera, Artech Information Systems, TEKsystems",-1
Data Intelligence - Product Data Quality Analyst (DE - RefData) - Data as a Service,$26K-$47K (Glassdoor est.),4,"Goldman Sachs
4.0","Salt Lake City, UT",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"J.P. Morgan, Merrill Lynch, Morgan Stanley",-1
Data Engineer/Data Analyst (REMOTE/Eventually Onsite),$26K-$47K (Glassdoor est.),4.1,"Idexcel Inc.
4.1","Salt Lake City, UT",501 to 1000 employees,1998,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1
Data Engineer/Analyst,$26K-$47K (Glassdoor est.),3.6,"SPECTRAFORCE TECHNOLOGIES Inc.
3.6","Salt Lake City, UT",501 to 1000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1
Quality Data Analyst,$26K-$47K (Glassdoor est.),2.6,"Easton Technical Products
2.6","Salt Lake City, UT",201 to 500 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$50 to $100 million (USD),-1,-1
Technical Data Analyst/Architect,$26K-$47K (Glassdoor est.),3,"CIVICA INC
3.0","Lehi, UT",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1
Data Governance Analyst II,$26K-$47K (Glassdoor est.),3.6,"ENERBANK USA
3.6","Salt Lake City, UT",1 to 50 employees,-1,Company - Public,-1,-1,$100 to $500 million (USD),-1,-1
Big Data Analyst,$26K-$47K (Glassdoor est.),2.9,"VED Software Services, Inc.
2.9","Salt Lake City, UT",51 to 200 employees,1995,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,-1
Senior Data Analyst,$26K-$47K (Glassdoor est.),3.4,"Ascential
3.4","Salt Lake City, UT",1001 to 5000 employees,1947,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1,-1
Data Analyst,$26K-$47K (Glassdoor est.),-1,Artius Solutions,"Salt Lake City, UT",-1,-1,-1,-1,-1,-1,-1,-1
"Data Analyst at Salt Lake City, UT",$26K-$47K (Glassdoor est.),4.5,"Vimerse
4.5","Salt Lake City, UT",51 to 200 employees,2011,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Senior Data Analyst,$26K-$47K (Glassdoor est.),3.8,"F5 Networks
3.8","Draper, UT",5001 to 10000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Citrix, VMware, Juniper Networks",-1
Data Scientist/Analyst - Noke,$26K-$47K (Glassdoor est.),2.7,"Janus International Group, LLC
2.7","Lehi, UT",501 to 1000 employees,2001,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,-1
Data Analyst - W2 candidate,$26K-$47K (Glassdoor est.),3.3,"ClientSolv Technologies
3.3","American Fork, UT",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1
Senior Data Analyst,$26K-$47K (Glassdoor est.),-1,DrangKro Aerospace,"Salt Lake City, UT",-1,-1,-1,-1,-1,-1,-1,-1
Marketing Coordinator / Data Analyst,$26K-$47K (Glassdoor est.),-1,POPi/o Mobile Video Cloud,"Sandy, UT",-1,-1,-1,-1,-1,-1,-1,-1
Senior Data Analyst,$26K-$47K (Glassdoor est.),5,"Resiliency LLC
5.0","Salt Lake City, UT",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
Financial Data Analyst,$26K-$47K (Glassdoor est.),3.5,"Vivint Solar
3.5","Lehi, UT",1001 to 5000 employees,2011,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),-1,-1
Special Operations (LREC) Incentives and Proficiency Data Analyst,$26K-$47K (Glassdoor est.),3.5,"YORKTOWN SYSTEMS GROUP INC
3.5","Riverton, UT",501 to 1000 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1
Senior Data Analyst,$26K-$47K (Glassdoor est.),4.1,"Shape Security
4.1","Draper, UT",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1
a. Senior Data and Business Analyst,$31K-$59K (Glassdoor est.),4,"Connor Group
4.0","Salt Lake City, UT",201 to 500 employees,2006,Company - Private,Accounting,Accounting & Legal,$25 to $50 million (USD),-1,-1
Fund Data Analyst,$31K-$59K (Glassdoor est.),3.5,"Vivint Solar
3.5","Lehi, UT",1001 to 5000 employees,2011,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),-1,-1
Sr Python Data Analyst(no c2c) contract w2 only,$31K-$59K (Glassdoor est.),2.9,"VED Software Services, Inc.
2.9","Salt Lake City, UT",51 to 200 employees,1995,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,-1
TX Healthcare Data/Reporting Analyst,$31K-$59K (Glassdoor est.),4.2,"Abacus Service Corporation
4.2","Salt Lake City, UT",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
Data Analyst,$47K-$81K (Glassdoor est.),3.5,"Robert Half
3.5","Reedley, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1
"Data Analyst, District Office - Accountability Office",$47K-$81K (Glassdoor est.),3.7,"TCOE
3.7","Visalia, CA",1 to 50 employees,-1,School / School District,Preschool & Child Care,Education,$1 to $5 million (USD),-1,-1
Data Analyst (Kings County),$47K-$81K (Glassdoor est.),3.3,"Public Health Foundation Enterprises, In
3.3","Hanford, CA",1001 to 5000 employees,1968,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1,-1
Tactical Data Link (TDL) Analyst,$43K-$69K (Glassdoor est.),4.3,"USfalcon
4.3","Hampton, VA",201 to 500 employees,1984,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"General Dynamics Information Technology, ENSCO, Booz Allen Hamilton",-1
Data Analyst,$43K-$69K (Glassdoor est.),2.5,"Hampton University
2.5","Hampton, VA",1001 to 5000 employees,1868,College / University,Colleges & Universities,Education,$100 to $500 million (USD),-1,-1
Data Science Analyst,$43K-$69K (Glassdoor est.),2.7,"Collins Consulting Inc
2.7","Norfolk, VA",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,-1
Junior Data Analyst,$43K-$69K (Glassdoor est.),2.7,"Patient Advocate Foundation
2.7","Hampton, VA",51 to 200 employees,1996,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),Prescription Lifeline,-1
Junior Data Analyst,$43K-$69K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Hampton, VA",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Jr Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.
4.9","Portsmouth, VA",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),-1,-1
Data Science Analyst,$43K-$69K (Glassdoor est.),3,"NewGen Technologies
3.0","Norfolk, VA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1
Data Analyst,$43K-$69K (Glassdoor est.),1,"Bluemont Technology & Research, Inc.
1.0","Norfolk, VA",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD),-1,-1
Data Analyst,$43K-$69K (Glassdoor est.),3.5,"ForKids, inc
3.5","Norfolk, VA",51 to 200 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD),-1,-1
Data Analyst,$43K-$69K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Hampton, VA",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
Data Analyst,$43K-$69K (Glassdoor est.),4.9,"Orbis, Inc.
4.9","Portsmouth, VA",201 to 500 employees,2000,Company - Private,Architectural & Engineering Services,Business Services,$10 to $25 million (USD),-1,-1
Data Analyst,$43K-$69K (Glassdoor est.),3.4,"Dunhill Professional Search
3.4","Chesapeake, VA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1
Finance Data Analytics Analyst,$43K-$69K (Glassdoor est.),3.1,"Smithfield
3.1","Smithfield, VA",10000+ employees,1936,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),"JBS USA Holdings, Tyson Foods, Hormel",-1
Business Intelligence/Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),3.8,"Booz Allen Hamilton
3.8","Suffolk, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),"Accenture, Deloitte, PwC",-1
Research & Data Analyst,$43K-$69K (Glassdoor est.),1,"EVMS
1.0","Norfolk, VA",501 to 1000 employees,1935,Company - Private,Vehicle Dealers,Retail,Unknown / Non-Applicable,-1,-1
Metrics & Data Analyst,$43K-$69K (Glassdoor est.),3.5,"Epsilon Systems Solutions, Inc.
3.5","Norfolk, VA",501 to 1000 employees,1998,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",$100 to $500 million (USD),-1,-1
